,City ID,City name,City longitude,City latitude,Max Temperature,Humidity,Cloud coverage,Wind Speed,City Country,City Datetime,Temperature
1,2374583,Bubaque,-15.83,11.28,,50,0,5.53,GW,1577671597.0,299.78
2,1120879,Sharan,68.78,33.15,,37,0,1.22,AF,1577671639.0,270.25
3,1273574,Vaini,74.49,15.34,,93,5,2.9,IN,1577671577.0,290.15
4,1282256,Hithadhoo,73.08,-0.6,,75,100,3.85,MV,1577671604.0,301.45
5,527220,Mga,31.06,59.76,,90,90,4,RU,1577671640.0,273.46
6,4407665,Kodiak,-94.76,39.95,,69,90,6.7,US,1577671640.0,273.13
7,4020109,Atuona,-139.03,-9.8,,74,4,5.73,PF,1577671573.0,300.22
8,3609418,San Cristobal,-86.92,14.68,,92,85,1.43,HN,1577671640.0,291.4
9,3831208,Qaanaaq,-69.36,77.48,,89,100,0.6,GL,1577671586.0,249.66
10,2158744,Margate,147.26,-43.03,,28,33,2.68,AU,1577671641.0,309.26
11,1733782,Victoria,115.24,5.28,,74,75,1.5,BN,1577671597.0,302.62
12,5855927,Hilo,-155.08,19.71,,54,40,3.6,US,1577671641.0,294.74
13,1789289,Dayong,118.29,25.02,,100,75,1,CN,1577671641.0,290.15
14,3378644,Georgetown,-58.16,6.8,,94,100,2.1,GY,1577671457.0,297.15
15,2126123,Chokurdakh,147.9,70.62,,84,65,3.16,RU,1577671584.0,238.48
16,2155415,New Norfolk,147.06,-42.78,,18,28,2.24,AU,1577671581.0,308.71
17,3652764,Puerto Ayora,-90.35,-0.74,,88,57,1.34,EC,1577671596.0,297.04
18,4030556,Rikitea,-134.97,-23.12,,78,100,2.57,PF,1577671578.0,298.38
19,3453439,Ponta do Sol,-46,-20.63,,90,14,1.64,BR,1577671643.0,291.61
20,3533462,Acapulco,-99.88,16.86,,78,75,3.1,MX,1577671402.0,301.15
21,2069194,Jamestown,138.6,-33.21,,14,68,9.61,AU,1577671581.0,312.56
22,3443061,Chuy,-53.46,-33.69,,93,51,2.12,UY,1577671595.0,294.48
23,964432,Port Alfred,26.89,-33.59,,96,10,5.08,ZA,1577671601.0,292.59
24,187896,Mandera,41.86,3.94,,27,28,3.13,ET,1577671644.0,289.82
25,1650233,Banjar,108.54,-7.37,,63,100,1.38,ID,1577671644.0,303.76
26,2253354,Dakar,-17.45,14.69,,23,89,5.1,SN,1577671629.0,297.15
27,3833859,Barrow,-60.23,-38.31,,90,100,4.55,AR,1577671645.0,293.0
